username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Data Science Dojo,1318985240,"Seattle, WA",3/31/2013 19:25,Discover your path to a career in data science! Join our free information session on January 26th at 9 am (PT) to l… https://t.co/O5yvwcHEDZ,1,HubSpot,
TMJ - SEA IT Jobs,21676969,USA-WA-Seattle Metro,2/23/2009 18:26,"Want to work at Starbucks? We're hiring in #Seattle, WA! Click for details: https://t.co/uiLsnwAKl4 #techjobs",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3320708, 47.6062095]}"
Dr. Kim Martini 🏳️‍🌈,48494794,"Seattle, WA",6/18/2009 21:22,"How about CTDs on Cormorants? They take some pretty great coastal data. 

https://t.co/yN4fbbShYu… https://t.co/H7FmqcBUlG",1,Twitter Web App,
Dr. Kim Martini 🏳️‍🌈,48494794,"Seattle, WA",6/18/2009 21:22,"How about CTDs on Cormorants? They actually take some pretty great coastal data.

https://t.co/yN4fbbShYu https://t.co/25R3vhztwY",0,Twitter Web App,
Data Science Dojo,1318985240,"Seattle, WA",3/31/2013 19:25,"💡 Myths of data science: https://t.co/Cj6THKOSg3

#DataScience #Myths https://t.co/ztw7syeDPq",11,HubSpot,
Patrick,906709772,"Seattle, WA",10/26/2012 20:17,"@cheomitII @wil_da_beast630 @ez_yeats Yes, you can, and it is done often. And no, you don't need ""report of subject… https://t.co/cQgH6bfCKz",0,Twitter Web App,
Sumit Mukherjee,350196627,"Seattle, WA",8/7/2011 10:58,It'll be nice if someone can point me to industry ML/data science researchers who tweet about their experiences in… https://t.co/Kno1cR78In,0,Twitter for Android,
Sumit Mukherjee,350196627,"Seattle, WA",8/7/2011 10:58,A big difference between the two is that I have only ever been tasked with developing research products and researc… https://t.co/lzLUoDJVh1,0,Twitter for Android,
Sumit Mukherjee,350196627,"Seattle, WA",8/7/2011 10:58,And I have now been in industry for ~5 years. Perhaps a big reason is that we need to demarcate between ML/data sci… https://t.co/oTLaPFW8Kx,0,Twitter for Android,
Sumit Mukherjee,350196627,"Seattle, WA",8/7/2011 10:58,I have lately followed a lot of industry data scientists who tweet about ... industry data science. In following th… https://t.co/kFpoGv7rGH,1,Twitter for Android,
Bob E. Hayes,20748873,"Seattle, WA",2/13/2009 4:55,The Importance of Experiment Design in Data Science - KDnuggets https://t.co/sXquRP519T,0,Buffer,
Annika Sparkles,1.02578E+18,"Seattle, WA",8/4/2018 16:16,"there will never be data science in business computing. You are data business. You are not sciencing, stop saying y… https://t.co/g4cPntcbJf",0,Twitter for iPhone,
Shital Shah,7637292,"Redmond, WA",7/22/2007 9:53,"During last couple of years, I have seen a massive rise in people studying “Computational XYZ”, where XYZ is everyt… https://t.co/MIslTcAmfZ",0,Twitter for iPhone,
