username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Mark LaCroix 💾,191431885,"Minneapolis, MN",2010-09-16 12:56:55,"The data says yes, but the data isn't without caveats.

“The people who choose to get it are likelier to also do ot… https://t.co/gXAkQTy98q",0,Twitter Web App,
Mr. Mark Peterson,3301792250,"St. Louis Park, MN",2015-07-30 18:28:27,"#finalz in biology! So much modeling, data interpretation, and explanation #ngss #bsmproud @bsmredknights https://t.co/XfNmsGs5KG",3,Twitter for iPhone,
Peter Thompson,701874326207725568,"Minneapolis, MN",2016-02-22 21:00:54,"This man's traditional family values include ignoring data, science, policy, compassion, humanity, and doing any re… https://t.co/iejZWcquhX",0,Twitter for Android,
R Web 🇺🇸🇲🇽🇺🇦,3386980633,"Shoreview, MN",2015-08-30 00:14:29,@PeterHotez @ADL Keep fighting the good fight… We count on you for reporting data from real science.  The vocal con… https://t.co/0tEpZmXKSl,0,Twitter for iPhone,
Scott St. George,14066920,"Minneapolis, MN",2008-03-02 00:18:32,"My final 🌲 💍 coda.

For what may be my last contribution to the field, I wrote an explainer on tree-ring width for… https://t.co/dGh0QY21kM",5,Twitter for iPhone,
Jane J🌊,2613749288,"Minneapolis, MN",2014-07-09 15:32:32,"@Popeye60776579 @CCINDYT7 @newtgingrich “I cannot teach anybody anything. I can only make them think.” -Socrates

O… https://t.co/PaiY7vjn9G",0,Twitter Web App,
Brian Roepke,7921292,"Minneapolis, MN",2007-08-03 01:28:27,"1/6 Want to get started with Natural Language Processing, or NLP in Data Science? Here are the foundational buildin… https://t.co/QTgdfNHF75",1,Typefully,
Julian Wolfson,1586248458,"Minneapolis, MN",2013-07-11 16:37:53,What's something that you think ought to be covered in a second data science focused #rstats course (assume student… https://t.co/XECHypWENw,2,Twitter Web App,
ECMC Education,3004105797,"Minneapolis, MN",2015-01-29 14:21:42,New survey data from @You_Science: 41% of high schoolers feel unprepared to make a career choice or declare a colle… https://t.co/R24v4YwvLK,1,Sprout Social,
Nat'l Survey of Student Engagement (NSSE),245148077,Indiana University Bloomington,2011-01-31 00:35:04,NSSE research analyst Angie Miller co-authored an article in Computers &amp; Education that used NSSE 2018 data to expl… https://t.co/cXURQG2q4o,1,Twitter Web App,
Jeff Havig,3116196557,"St Paul, MN",2015-03-25 22:29:58,A great example of how anti-science climate change deniers cherry pick data to push their false narratives that are… https://t.co/tu8EYZwHK7,0,Twitter for Android,
Andy Rundquist,18911795,"Saint Paul, MN",2009-01-12 19:29:07,@jhudsy Would it work to have the students have to descibe (out loud) every line in a vid? That's what I'm planning… https://t.co/nrCKVGJofr,0,TweetDeck,
Colette Salemi,771370169465569280,"Minneapolis, MN",2016-09-01 15:32:34,"Farrell et al. built data on First Nations in the U.S., their displacement patterns, and the natural hazard risks/l… https://t.co/aU3UC2ySUB",0,Twitter Web App,
Andy Rundquist,18911795,"Saint Paul, MN",2009-01-12 19:29:07,"New post: Planning my class that starts in a week (ahhh!)

https://t.co/Vh9BcRWB75",1,TweetDeck,
